,DATE,LATITUDE,LONGITUDE,FIRE_SIZE,FIRE_SIZE_CLASS,STAT_CAUSE_DESCR
90,2010-06-20,36.67805555,-119.735,1.0,B,Arson
91,2010-06-20,36.59194444,-119.89888888,1.0,B,Children
92,2010-06-20,36.43694444,-120.39388888,1.0,B,Equipment Use
93,2010-06-22,37.03805555,-119.64888888,275.0,D,Miscellaneous
94,2010-06-22,36.65611111,-119.73694444,5.0,B,Miscellaneous
95,2010-06-11,36.77111111,-119.57388888,2.1,B,Debris Burning
96,2010-06-12,36.63305555,-120.38805555,5.0,B,Miscellaneous
97,2010-06-12,36.60694444,-119.53805555,1.0,B,Miscellaneous
98,2010-06-13,36.98194444,-120.52694444,1.0,B,Miscellaneous
99,2010-06-14,36.53,-119.79111111,0.5,B,Miscellaneous
100,2010-06-15,36.61888888,-119.53,1.0,B,Miscellaneous
101,2010-06-15,36.43694444,-120.39388888,3.0,B,Miscellaneous
102,2010-06-15,36.765,-120.38694444,1.0,B,Miscellaneous
103,2010-06-15,36.98194444,-120.58111111,1.0,B,Debris Burning
104,2010-06-15,36.93611111,-120.59888888,1.0,B,Equipment Use
105,2010-06-16,36.57611111,-119.64694444,1.0,B,Arson
106,2010-06-16,36.71694444,-119.76388888,1.0,B,Equipment Use
107,2010-06-22,36.43,-119.94111111,0.1,A,Equipment Use
108,2010-06-23,36.675,-119.53805555,0.3,B,Equipment Use
109,2010-06-24,36.67,-119.48888888,1.0,B,Miscellaneous
110,2010-06-25,36.255,-120.10388888,1.0,B,Miscellaneous
111,2010-06-25,36.18111111,-120.085,1.0,B,Miscellaneous
112,2010-06-25,36.935,-120.56388888,2.0,B,Smoking
113,2010-06-27,36.43111111,-119.66388888,0.3,B,Smoking
114,2010-06-27,36.295,-120.26805555,1.0,B,Equipment Use
115,2010-06-27,36.77805555,-120.72111111,1.0,B,Equipment Use
116,2010-06-28,36.77888888,-119.58305555,1.0,B,Miscellaneous
117,2010-06-28,36.61194444,-119.55694444,0.2,A,Debris Burning
118,2010-06-29,36.65,-119.79194444,1.0,B,Miscellaneous
119,2010-06-30,36.43111111,-119.80111111,0.1,A,Equipment Use
