,Unnamed: 0,DATE,LATITUDE,LONGITUDE,FIRE_SIZE,FIRE_SIZE_CLASS,STAT_CAUSE_DESCR
71,477,2013-07-13 00:00:00,35.3478,-120.0233,40.0,C,Missing/Undefined
72,478,2013-07-23 00:00:00,35.0847,-118.9744,450.0,E,Missing/Undefined
73,479,2013-07-29 00:00:00,35.78,-120.2069,0.2,A,Missing/Undefined
74,480,2013-07-26 00:00:00,35.2933,-119.6119,0.1,A,Miscellaneous
75,491,2013-07-01 00:00:00,41.0942,-123.6925,0.1,A,Debris Burning
76,492,2013-07-01 00:00:00,41.085,-123.6972,0.1,A,Debris Burning
77,493,2013-07-08 00:00:00,41.0811,-123.6839,0.1,A,Debris Burning
78,505,2013-07-02 00:00:00,34.00163,-116.57773,0.1,A,Missing/Undefined
79,506,2013-07-02 00:00:00,33.9242,-116.6922,0.3,B,Missing/Undefined
80,509,2013-07-05 00:00:00,36.57288,-118.75112,1.0,B,Debris Burning
81,524,2013-07-01 00:00:00,40.5517,-122.4878,0.1,A,Miscellaneous
82,526,2013-07-12 00:00:00,40.2217,-124.3092,34.0,C,Missing/Undefined
83,527,2013-07-21 00:00:00,40.1025,-120.1964,0.1,A,Missing/Undefined
84,541,2013-07-23 00:00:00,39.8189,-123.2706,0.3,B,Debris Burning
85,567,2013-07-08 00:00:00,34.049711,-118.78714,0.1,A,Missing/Undefined
86,568,2013-07-08 00:00:00,34.085064,-118.782036,2.0,B,Missing/Undefined
87,569,2013-07-15 00:00:00,34.018403,-118.814208,0.1,A,Missing/Undefined
88,581,2013-07-04 00:00:00,36.01553,-118.83293,3.8,B,Missing/Undefined
89,585,2013-07-27 00:00:00,37.547,-119.643,0.1,A,Miscellaneous
90,586,2013-07-31 00:00:00,37.85083,-119.65967,0.1,A,Miscellaneous
91,601,2013-07-01 00:00:00,39.46277778,-121.9927778,0.5,B,Missing/Undefined
92,605,2013-07-29 00:00:00,32.679215,-116.978524,44.0,C,Missing/Undefined
93,609,2013-07-28 00:00:00,32.6425,-116.8577778,5.0,B,Missing/Undefined
94,611,2013-07-11 00:00:00,33.17611111,-115.62194440000002,0.5,B,Miscellaneous
95,1880,2013-07-15 00:00:00,33.93,-117.226117,0.1,A,Missing/Undefined
96,1883,2013-07-05 00:00:00,37.2732,-120.3015,0.1,A,Missing/Undefined
97,1885,2013-07-25 00:00:00,33.059283,-117.1011,28.0,C,Missing/Undefined
98,1888,2013-07-14 00:00:00,40.212833,-123.750667,21.0,C,Miscellaneous
99,1890,2013-07-16 00:00:00,36.922533,-121.63055,17.0,C,Miscellaneous
100,1891,2013-07-28 00:00:00,39.812583,-122.197283,17.0,C,Miscellaneous
101,1895,2013-07-02 00:00:00,41.226017,-121.0807,13.8,C,Miscellaneous
102,1897,2013-07-04 00:00:00,33.7388,-116.95855,1.0,B,Miscellaneous
103,1898,2013-07-19 00:00:00,36.7203,-119.67285,1.0,B,Missing/Undefined
104,1899,2013-07-30 00:00:00,39.270467,-120.063333,1.0,B,Miscellaneous
105,1901,2013-07-09 00:00:00,38.7835,-123.009367,1.0,B,Missing/Undefined
106,1902,2013-07-22 00:00:00,36.887633,-119.686067,1.0,B,Miscellaneous
107,1904,2013-07-06 00:00:00,39.169717,-121.608567,1.0,B,Debris Burning
108,1907,2013-07-08 00:00:00,37.565017,-120.425883,1.0,B,Missing/Undefined
109,1908,2013-07-10 00:00:00,37.94805,-120.617167,1.0,B,Miscellaneous
110,1910,2013-07-03 00:00:00,41.241383,-121.035,502.0,E,Miscellaneous
111,1913,2013-07-27 00:00:00,39.77535,-121.997367,0.1,A,Miscellaneous
112,1917,2013-07-24 00:00:00,36.864717,-119.539167,3.0,B,Miscellaneous
113,1919,2013-07-14 00:00:00,40.436233,-122.400283,3.0,B,Miscellaneous
114,1921,2013-07-30 00:00:00,40.883717,-121.67155,0.5,B,Missing/Undefined
115,1922,2013-07-15 00:00:00,37.0774,-122.085,0.5,B,Missing/Undefined
116,1923,2013-07-18 00:00:00,38.9709,-120.88935,0.1,A,Missing/Undefined
117,1925,2013-07-06 00:00:00,37.476383,-120.703217,5.0,B,Miscellaneous
118,1927,2013-07-10 00:00:00,38.51435,-122.074883,5.0,B,Missing/Undefined
119,1931,2013-07-02 00:00:00,40.559383,-122.276733,0.25,A,Missing/Undefined
120,1932,2013-07-04 00:00:00,39.527383,-121.462283,0.25,A,Missing/Undefined
121,1933,2013-07-03 00:00:00,37.015317,-122.052333,0.23,A,Miscellaneous
122,1934,2013-07-05 00:00:00,38.235017,-121.13545,0.22,A,Miscellaneous
123,1938,2013-07-09 00:00:00,33.73055,-117.30625,0.21,A,Missing/Undefined
124,1942,2013-07-12 00:00:00,36.781767,-119.52205,0.2,A,Miscellaneous
125,1943,2013-07-11 00:00:00,38.776767,-120.605833,0.2,A,Missing/Undefined
126,1947,2013-07-03 00:00:00,38.889133,-122.604433,11.5,C,Miscellaneous
127,1948,2013-07-19 00:00:00,36.20725,-120.37315,1.0,B,Miscellaneous
128,1949,2013-07-27 00:00:00,35.45708300000001,-120.331633,1.0,B,Miscellaneous
129,1950,2013-07-05 00:00:00,39.973033,-123.966133,1.0,B,Missing/Undefined
130,1952,2013-07-11 00:00:00,39.308483,-121.637517,1.0,B,Missing/Undefined
131,1953,2013-07-22 00:00:00,40.315983,-121.106983,1.0,B,Miscellaneous
132,1956,2013-07-01 00:00:00,36.998267,-120.873433,1.0,B,Debris Burning
133,1958,2013-07-13 00:00:00,33.7834,-117.23695,1.0,B,Missing/Undefined
134,1959,2013-07-24 00:00:00,38.349367,-120.85045,0.89,B,Missing/Undefined
135,1960,2013-07-16 00:00:00,37.086533,-120.212583,0.8,B,Missing/Undefined
136,1961,2013-07-26 00:00:00,40.428833,-120.806,0.8,B,Miscellaneous
137,1962,2013-07-01 00:00:00,37.879817,-122.221983,0.77,B,Miscellaneous
138,1965,2013-07-12 00:00:00,33.9341,-117.55585,1.0,B,Missing/Undefined
139,1967,2013-07-03 00:00:00,33.6709,-117.206533,1.0,B,Missing/Undefined
140,1968,2013-07-25 00:00:00,32.6341,-116.178367,1.0,B,Missing/Undefined
141,1969,2013-07-02 00:00:00,37.7216,-121.683617,1.0,B,Miscellaneous
142,1970,2013-07-11 00:00:00,39.5524,-121.765083,1.0,B,Missing/Undefined
143,1973,2013-07-08 00:00:00,37.048333,-121.545567,1.0,B,Miscellaneous
144,1974,2013-07-19 00:00:00,38.650517,-121.07745,163.0,D,Miscellaneous
145,1975,2013-07-09 00:00:00,40.377222,-122.7275,215.0,D,Missing/Undefined
146,1976,2013-07-10 00:00:00,38.4394,-121.979217,13.0,C,Miscellaneous
147,1977,2013-07-22 00:00:00,37.327217,-119.769033,1.0,B,Miscellaneous
148,1978,2013-07-19 00:00:00,39.961317,-122.330883,195.0,D,Miscellaneous
149,1979,2013-07-25 00:00:00,33.786517,-117.237483,1.0,B,Missing/Undefined
150,1984,2013-07-16 00:00:00,34.225083000000005,-117.41005,0.5,B,Missing/Undefined
151,1987,2013-07-13 00:00:00,36.96055,-120.65395,0.5,B,Missing/Undefined
152,1992,2013-07-05 00:00:00,33.9282,-116.905183,0.3,B,Miscellaneous
153,1996,2013-07-26 00:00:00,37.64345,-121.410383,0.08,A,Missing/Undefined
154,2004,2013-07-14 00:00:00,36.677417,-119.880533,0.2,A,Miscellaneous
155,2008,2013-07-15 00:00:00,35.105217,-120.63125,6.0,B,Missing/Undefined
156,2009,2013-07-27 00:00:00,37.491883,-120.703067,6.0,B,Miscellaneous
157,2010,2013-07-05 00:00:00,36.646517,-119.3402,6.0,B,Missing/Undefined
158,2015,2013-07-05 00:00:00,38.404317,-120.0208,4.6,B,Miscellaneous
159,2017,2013-07-12 00:00:00,37.330983,-120.5247,4.0,B,Miscellaneous
160,2020,2013-07-18 00:00:00,37.321,-120.3265,4.0,B,Missing/Undefined
161,2023,2013-07-04 00:00:00,38.7821,-123.01695,4.0,B,Missing/Undefined
162,2024,2013-07-24 00:00:00,36.300283,-120.273217,4.0,B,Miscellaneous
163,2025,2013-07-19 00:00:00,37.839183,-120.863483,4.0,B,Missing/Undefined
164,2026,2013-07-24 00:00:00,38.83265,-120.870167,4.0,B,Miscellaneous
165,2030,2013-07-28 00:00:00,38.81455,-122.800967,0.1,A,Miscellaneous
166,2031,2013-07-01 00:00:00,33.9758,-117.475767,0.1,A,Miscellaneous
167,2034,2013-07-05 00:00:00,35.033973,-120.497823,0.1,A,Missing/Undefined
