DATE,LAT,LON,T2M_MAX,T2M_MIN,T2M,PRECTOT,RH2M,PS,WS10M_MIN,WS10M_MAX,WS10M,FIRE,FIRE_SIZE,FIRE_SIZE_CLASS
7/22/2014,32.25,-113.75,44.24,25.87,35.4,0,20.65,98.58,0.81,3,1.91,NOFIRE,0,NA
7/22/2015,32.25,-113.75,37.89,23.96,30.71,0,37.37,98.33,2.61,7.38,4.72,NOFIRE,0,NA
7/23/2013,32.25,-113.75,37.22,24.81,31.2,0,45.12,98.59,2.47,4.75,3.79,NOFIRE,0,NA
7/23/2014,32.25,-113.75,45.08,28.09,36.8,0,22.44,98.47,0.25,3.5,2.33,NOFIRE,0,NA
7/23/2015,32.25,-113.75,37.79,23.88,31.18,0.07,45.24,98.7,2.28,7.12,4.95,NOFIRE,0,NA
7/24/2013,32.25,-113.75,39.19,25.77,32.47,0,41.2,98.46,1.87,5.51,3.89,NOFIRE,0,NA
7/24/2014,32.25,-113.75,40.94,29.63,35.04,0.29,34.4,98.32,1.99,8.77,4.56,NOFIRE,0,NA
7/24/2015,32.25,-113.75,40.36,25.86,32.82,0,39.1,98.82,1.47,5.06,2.84,NOFIRE,0,NA
7/25/2013,32.25,-113.75,37.84,27.67,32.02,0.63,45.92,98.67,2.34,5.81,3.76,NOFIRE,0,NA
7/25/2014,32.25,-113.75,38.11,28.91,33.24,0.46,39.91,98.44,2.95,8.32,5.83,NOFIRE,0,NA
7/25/2015,32.25,-113.75,42.77,25.67,33.97,0,27.3,98.6,1.15,4.62,3.05,NOFIRE,0,NA
7/26/2013,32.25,-113.75,39.97,26.97,33.16,0,39.53,98.84,0.7,5.36,3.26,NOFIRE,0,NA
7/26/2014,32.25,-113.75,39.97,27.2,33.18,5.38,37.67,98.61,2.58,6.34,4.47,NOFIRE,0,NA
7/26/2015,32.25,-113.75,42.73,24.67,33.69,0,27.22,98.35,1.98,7.8,4.12,NOFIRE,0,NA
7/27/2013,32.25,-113.75,40.42,26.58,33.18,0,36.45,98.5,2.48,5.53,4.21,NOFIRE,0,NA
7/27/2014,32.25,-113.75,37.84,27.65,31.81,1.45,44.25,98.76,1.88,8.28,4.42,NOFIRE,0,NA
7/27/2015,32.25,-113.75,41.13,25.47,33.18,0,35.53,98.33,2.34,6.1,3.82,NOFIRE,0,NA
7/28/2013,32.25,-113.75,41.34,26.31,33.22,0,34.77,98.21,1.88,5.5,3.37,NOFIRE,0,NA
7/28/2014,32.25,-113.75,40.88,26.45,33.83,0,35.89,98.82,1.38,3.64,2.48,NOFIRE,0,NA
7/28/2015,32.25,-113.75,38.29,26.23,32.23,0.14,44.03,98.45,2.71,6.99,4.91,NOFIRE,0,NA
7/29/2013,32.25,-113.75,40.37,25.09,32.35,0,29.64,98.56,0.59,6.2,3.41,NOFIRE,0,NA
7/29/2014,32.25,-113.75,42.61,27.72,35.34,0,33.03,98.62,0.74,4.03,2.36,NOFIRE,0,NA
7/29/2015,32.25,-113.75,33.21,27.73,30.47,0.45,56.79,98.76,1.47,4.91,3.62,NOFIRE,0,NA
7/3/2013,32.25,-113.75,42.89,26.97,34.84,0,27.39,98.19,1.95,5.5,3.66,NOFIRE,0,NA
7/3/2014,32.25,-113.75,38.68,25.91,32.38,0.02,43.75,98.57,5.11,8.33,6.68,NOFIRE,0,NA
7/3/2015,32.25,-113.75,36.29,26.66,31.96,0,39.07,98.35,1.35,5.1,3.31,NOFIRE,0,NA
7/30/2013,32.25,-113.75,40.08,25.41,32.68,0,35.63,98.89,2.8,6.29,4.36,NOFIRE,0,NA
7/30/2014,32.25,-113.75,42.13,28.53,35.01,0,33.47,98.48,1.27,5.32,3.05,NOFIRE,0,NA
7/30/2015,32.25,-113.75,37.95,27.23,32.63,0,44.95,98.82,1.55,2.9,2.24,NOFIRE,0,NA
7/31/2013,32.25,-113.75,40.73,25.78,33.34,0,37.59,98.72,2.04,6.33,3.43,NOFIRE,0,NA
7/31/2014,32.25,-113.75,39.3,28.24,33.83,0.38,37.81,98.54,2.72,8.1,5.04,NOFIRE,0,NA
7/31/2015,32.25,-113.75,41.51,27.49,34.21,0.94,37.92,98.72,1.26,4.49,2.76,NOFIRE,0,NA
7/4/2013,32.25,-113.75,40.32,26.56,33.16,0,35.39,98.07,3.6,7.99,6.28,NOFIRE,0,NA
7/4/2014,32.25,-113.75,34.17,26.3,29.72,0.26,54.36,98.92,1.73,6.34,3.8,NOFIRE,0,NA
7/4/2015,32.25,-113.75,38.76,26,32.13,0,39.99,98.29,1.65,9.69,5.34,NOFIRE,0,NA
7/5/2013,32.25,-113.75,39.67,27.18,32.81,0,33.58,98.09,3.72,8.96,5.98,NOFIRE,0,NA
7/5/2014,32.25,-113.75,39.64,27.05,33.33,0.57,40.58,98.87,1.3,5.01,3.03,NOFIRE,0,NA
7/5/2015,32.25,-113.75,35.63,26.68,30.34,0.12,46.11,98.56,2.99,11.03,6.09,NOFIRE,0,NA
7/6/2013,32.25,-113.75,40.52,25.72,32.91,0,31.65,98,2.81,6.28,4.87,NOFIRE,0,NA
7/6/2014,32.25,-113.75,41.6,27.13,34.8,0.03,35.58,98.56,0.06,3.45,1.28,NOFIRE,0,NA
7/6/2015,32.25,-113.75,39.34,24.77,32.16,0.01,35.66,98.63,3.21,6.91,4.73,NOFIRE,0,NA
7/7/2013,32.25,-113.75,43.19,25.99,34.85,0,21.59,98,2.5,5.32,3.67,NOFIRE,0,NA
7/7/2014,32.25,-113.75,43,28.08,35.54,0,31.72,98.32,1.19,6,3.72,NOFIRE,0,NA
7/7/2015,32.25,-113.75,39.8,25.81,32.75,0.08,30.58,98.39,2.53,7.02,4.85,NOFIRE,0,NA
7/8/2013,32.25,-113.75,40.85,26.87,33.54,0,33.47,98.37,1.29,6.52,4.56,NOFIRE,0,NA
7/8/2014,32.25,-113.75,37.64,28.23,32.54,5.87,51.03,98.52,4,7.42,5.45,NOFIRE,0,NA
7/8/2015,32.25,-113.75,37.48,24.66,31.02,0,32.76,98.18,1.86,9.28,5.28,NOFIRE,0,NA
7/9/2013,32.25,-113.75,35.79,26.92,31.19,2.33,48.66,98.77,3.77,8.91,6.47,NOFIRE,0,NA
7/9/2014,32.25,-113.75,38.24,27.57,32.11,0.45,49.06,98.53,2.7,5.21,3.75,NOFIRE,0,NA
7/9/2015,32.25,-113.75,36.18,21.93,28.63,0,32.02,98.28,1.64,6.96,4.04,NOFIRE,0,NA
7/1/2013,32.25,-114.25,41.72,28.16,34.51,0.12,33.32,99.12,3.34,9.83,6.82,NOFIRE,0,NA
7/1/2014,32.25,-114.25,40.43,24.1,31.88,0,32.19,99.09,3.22,6.18,4.85,NOFIRE,0,NA
7/1/2015,32.25,-114.25,36.34,26.6,31.13,1.46,46.65,99.51,1.95,8.02,5.62,NOFIRE,0,NA
7/10/2013,32.25,-114.25,36.36,26.8,31.34,0.98,53.2,99.5,4.65,7.88,5.78,NOFIRE,0,NA
7/10/2014,32.25,-114.25,41.41,27.58,33.67,0.02,38.12,99.33,1.65,6.01,3.02,NOFIRE,0,NA
7/10/2015,32.25,-114.25,34.86,20.04,27.62,0,34.91,99.33,1.98,6.59,4.15,NOFIRE,0,NA
7/11/2013,32.25,-114.25,35.79,25.88,30.55,2.5,48.56,99.43,2.35,8.46,5.54,NOFIRE,0,NA
7/11/2014,32.25,-114.25,40.93,25.34,33.08,0,22.52,99.46,2.46,4.39,3.24,NOFIRE,0,NA
7/11/2015,32.25,-114.25,35.74,21.57,28.61,0,36.43,99.54,1.36,5.87,3.72,NOFIRE,0,NA
7/12/2013,32.25,-114.25,38.77,25.75,32.29,0,41.51,99.33,1.05,5.66,3.27,NOFIRE,0,NA
7/12/2014,32.25,-114.25,41.5,24.81,33.47,0,23.81,99.46,0.8,3.84,2.84,NOFIRE,0,NA
7/12/2015,32.25,-114.25,39.96,22.16,31.31,0,30,99.56,0.82,5.77,3.31,NOFIRE,0,NA
7/13/2013,32.25,-114.25,41.21,25.64,33.66,0,38.91,99.31,1.54,5.61,3.31,NOFIRE,0,NA
7/13/2014,32.25,-114.25,37.46,27.12,31.77,0.79,41.58,99.49,2.6,8.81,5.75,NOFIRE,0,NA
7/13/2015,32.25,-114.25,41.63,25.03,32.89,0,29.23,99.31,0.22,4.69,2.32,NOFIRE,0,NA
7/14/2013,32.25,-114.25,40.07,29.17,34.06,0.06,41.13,99.25,0.82,6,3.56,NOFIRE,0,NA
7/14/2014,32.25,-114.25,34.77,26.45,30.26,0.67,54.01,99.73,2.36,7.89,5.07,NOFIRE,0,NA
