,DATE,LATITUDE,LONGITUDE,FIRE_SIZE,FIRE_SIZE_CLASS,STAT_CAUSE_DESCR
64,2013-07-02 00:00:00,34.19166667,-117.1875,8.0,B,Miscellaneous
65,2013-12-19 00:00:00,39.81305556,-120.48583329999998,0.1,A,Miscellaneous
66,2013-10-20 00:00:00,40.74972222,-121.4838889,0.3,B,Debris Burning
67,2013-10-27 00:00:00,38.68361111,-120.0675,0.1,A,Miscellaneous
68,2013-06-02 00:00:00,40.60833333,-123.4502778,0.5,B,Miscellaneous
69,2013-06-01 00:00:00,39.51194444,-120.19333329999999,0.1,A,Miscellaneous
70,2013-08-03 00:00:00,38.40527778,-119.78,0.01,A,Miscellaneous
71,2013-06-03 00:00:00,40.81222222,-123.4886111,0.2,A,Miscellaneous
72,2013-08-09 00:00:00,34.56694444,-118.4675,206.0,D,Miscellaneous
73,2013-10-26 00:00:00,35.9975,-118.53916670000001,0.1,A,Miscellaneous
74,2013-06-09 00:00:00,34.31944444,-117.38194440000001,0.1,A,Miscellaneous
75,2013-10-21 00:00:00,34.23333333,-117.84583329999998,0.1,A,Miscellaneous
76,2013-04-26 00:00:00,34.3125,-117.525,0.1,A,Miscellaneous
77,2013-09-17 00:00:00,37.31833333,-119.35305559999999,0.1,A,Debris Burning
78,2013-08-08 00:00:00,32.8825,-116.82222220000001,0.1,A,Miscellaneous
79,2013-09-03 00:00:00,39.77222222,-121.2638889,0.01,A,Miscellaneous
80,2013-08-05 00:00:00,34.43472222,-118.13472220000001,0.1,A,Miscellaneous
81,2013-08-21 00:00:00,35.71833333,-118.43833329999998,2.0,B,Miscellaneous
82,2013-09-28 00:00:00,34.50916667,-118.6063889,0.25,A,Miscellaneous
83,2013-04-17 00:00:00,34.44583333,-118.3613889,3.0,B,Miscellaneous
84,2013-06-26 00:00:00,32.7075,-116.50166670000002,0.1,A,Miscellaneous
85,2013-05-30 00:00:00,34.59222222,-118.45527779999999,30274.0,G,Miscellaneous
86,2013-08-31 00:00:00,39.21805556,-120.8977778,1.78,B,Miscellaneous
87,2013-10-15 00:00:00,35.46111111,-118.6052778,0.25,A,Miscellaneous
88,2013-08-10 00:00:00,40.13888889,-120.9561111,0.1,A,Miscellaneous
89,2013-08-17 00:00:00,38.0025,-120.16333329999999,2.3,B,Miscellaneous
90,2013-10-15 00:00:00,40.27888889,-123.42194440000002,0.1,A,Debris Burning
91,2013-07-16 00:00:00,40.79583333,-122.7688889,0.1,A,Miscellaneous
92,2013-11-06 00:00:00,38.97611111,-120.7233333,0.1,A,Debris Burning
93,2013-11-23 00:00:00,38.38111111,-120.20055559999999,0.1,A,Miscellaneous
94,2013-07-08 00:00:00,38.77444444,-120.2975,572.0,E,Miscellaneous
95,2013-04-30 00:00:00,34.63972222,-118.50055559999998,0.4,B,Miscellaneous
96,2013-06-16 00:00:00,36.08444444,-118.52194440000001,0.4,B,Miscellaneous
97,2013-08-10 00:00:00,35.65722222,-118.47916670000001,1.0,B,Miscellaneous
